label,handedness,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
HELLO,UNKNOWN,0.0,0.0,0.0,0.03721538931131363,-0.33519089221954346,-0.03612103313207626,0.11098895967006683,-0.5675714612007141,-0.09214693307876587,0.2104288637638092,-0.7776245474815369,-0.14073891937732697,0.27372854948043823,-0.9618070125579834,-0.17781633138656616,0.41929328441619873,-0.45722296833992004,-0.10227122902870178,0.5571565628051758,-0.5109342336654663,-0.10276302695274353,0.4694586396217346,-0.5014866590499878,-0.08696214109659195,0.3793284296989441,-0.47525426745414734,-0.07817389816045761,0.47463107109069824,-0.23723958432674408,-0.09450577944517136,0.5307250618934631,-0.325091689825058,-0.06999590247869492,0.44776651263237,-0.3264579772949219,-0.04972800984978676,0.3739359974861145,-0.293834388256073,-0.05369681492447853,0.4737851917743683,-0.044377826154232025,-0.07950503379106522,0.4928666353225708,-0.15066421031951904,-0.049450915306806564,0.42197349667549133,-0.15291054546833038,-0.014774080365896225,0.34949469566345215,-0.12575438618659973,-0.011698590591549873,0.4590585231781006,0.11632412672042847,-0.06594408303499222,0.4698634743690491,0.015929309651255608,-0.04115098714828491,0.405570924282074,0.006163324229419231,-0.003221100429072976,0.34878093004226685,0.02409873902797699,0.018193814903497696
HELLO,UNKNOWN,0.0,0.0,0.0,0.039242565631866455,-0.3430195152759552,-0.04443538933992386,0.11982512474060059,-0.5717326998710632,-0.10349535942077637,0.22015704214572906,-0.7747117280960083,-0.1537020355463028,0.27050870656967163,-0.9627174735069275,-0.1930919587612152,0.4443187117576599,-0.4396870732307434,-0.10779319703578949,0.5584684610366821,-0.5213117003440857,-0.10736201703548431,0.4620567858219147,-0.5144433975219727,-0.09449329972267151,0.37207528948783875,-0.47642654180526733,-0.08934981375932693,0.49885550141334534,-0.2179202139377594,-0.09634095430374146,0.5403900742530823,-0.3227716386318207,-0.0758807361125946,0.451488733291626,-0.32607853412628174,-0.06206182762980461,0.37663042545318604,-0.29071491956710815,-0.06962853670120239,0.49159741401672363,-0.023273181170225143,-0.07715090364217758,0.5069006681442261,-0.14006035029888153,-0.05370856821537018,0.43284872174263,-0.14418432116508484,-0.025943906977772713,0.35782086849212646,-0.11582159250974655,-0.025607114657759666,0.4689818024635315,0.13674582540988922,-0.05924893543124199,0.48007744550704956,0.031127456575632095,-0.04097052291035652,0.4139615297317505,0.019417952746152878,-0.006735663861036301,0.35489127039909363,0.037380293011665344,0.013506539165973663
HELLO,UNKNOWN,0.0,0.0,0.0,0.033243272453546524,-0.3553229868412018,-0.04695584625005722,0.1149069219827652,-0.5899980664253235,-0.10588391870260239,0.2242441326379776,-0.7837767004966736,-0.15483543276786804,0.283722847700119,-0.9589062929153442,-0.19258251786231995,0.4532715082168579,-0.4335225224494934,-0.1104285717010498,0.5636046528816223,-0.5316725969314575,-0.10516739636659622,0.46441543102264404,-0.5234472751617432,-0.08882757276296616,0.37425467371940613,-0.4806888699531555,-0.08164604008197784,0.5077579021453857,-0.21191462874412537,-0.09547337889671326,0.5491262078285217,-0.32869815826416016,-0.07235538214445114,0.45889875292778015,-0.3362763524055481,-0.0577140636742115,0.38528990745544434,-0.2980929911136627,-0.06529348343610764,0.498241662979126,-0.019444381818175316,-0.0721249133348465,0.5196002125740051,-0.1455928534269333,-0.04826582223176956,0.44465675950050354,-0.15311835706233978,-0.021968834102153778,0.36972323060035706,-0.1212143525481224,-0.02251415140926838,0.47383007407188416,0.13829313218593597,-0.049942463636398315,0.4915349781513214,0.0249426681548357,-0.031224878504872322,0.42260777950286865,0.012131444178521633,0.002892425749450922,0.36148470640182495,0.035472843796014786,0.022929061204195023
HELLO,UNKNOWN,0.0,0.0,0.0,0.036165639758110046,-0.3500823676586151,-0.04656120389699936,0.12353354692459106,-0.5787211656570435,-0.10268118977546692,0.23398788273334503,-0.7780281901359558,-0.1483176201581955,0.29682591557502747,-0.9549316167831421,-0.1828913688659668,0.4532519578933716,-0.4343676269054413,-0.10417608916759491,0.5659980773925781,-0.5396327972412109,-0.0984291210770607,0.4639451205730438,-0.5248894095420837,-0.08299586176872253,0.37533074617385864,-0.4772303104400635,-0.07605263590812683,0.5117217302322388,-0.21663536131381989,-0.08655453473329544,0.5626344084739685,-0.33917436003685,-0.06176293268799782,0.472210168838501,-0.34702757000923157,-0.04546665772795677,0.3995382785797119,-0.30859440565109253,-0.051791656762361526,0.5050801634788513,-0.027588116005063057,-0.06103511154651642,0.5339381694793701,-0.1602850705385208,-0.035556476563215256,0.46010148525238037,-0.16850242018699646,-0.008381202816963196,0.3875330686569214,-0.1328136920928955,-0.00834310706704855,0.48263001441955566,0.12440135329961777,-0.03656894341111183,0.5091352462768555,0.0017971041379496455,-0.014774383045732975,0.4407842457294464,-0.013899857178330421,0.020296314731240273,0.3797491788864136,0.013359645381569862,0.040422894060611725
HELLO,UNKNOWN,0.0,0.0,0.0,0.03759310021996498,-0.35068830847740173,-0.04096703231334686,0.12431512027978897,-0.581861674785614,-0.09543807804584503,0.23707234859466553,-0.782240629196167,-0.140699565410614,0.29785293340682983,-0.9546117782592773,-0.17505158483982086,0.4484136700630188,-0.445814847946167,-0.09851515293121338,0.565559446811676,-0.5312923192977905,-0.09243670850992203,0.46704375743865967,-0.5098445415496826,-0.07675829529762268,0.3780379295349121,-0.4647546410560608,-0.06961895525455475,0.5068588852882385,-0.22662381827831268,-0.08436349034309387,0.5560459494590759,-0.3305007219314575,-0.05779295042157173,0.4653797447681427,-0.3316255807876587,-0.04087298735976219,0.3917447030544281,-0.2946130037307739,-0.0467023104429245,0.5001122951507568,-0.03395521268248558,-0.062317680567502975,0.5204727649688721,-0.151180699467659,-0.03392333909869194,0.44535592198371887,-0.1546853631734848,-0.005988674238324165,0.3725742697715759,-0.12094680219888687,-0.006088987924158573,0.47693711519241333,0.1237853467464447,-0.04131782054901123,0.4934094548225403,0.013002823106944561,-0.016269249841570854,0.42433297634124756,0.0013533610617741942,0.019334837794303894,0.36332130432128906,0.027720944955945015,0.03925697132945061
HELLO,UNKNOWN,0.0,0.0,0.0,0.03555871918797493,-0.35098886489868164,-0.03388029336929321,0.12537962198257446,-0.5809769034385681,-0.08327825367450714,0.23879307508468628,-0.7820405960083008,-0.1252884864807129,0.2949616312980652,-0.9555091261863708,-0.15734760463237762,0.4477680027484894,-0.45248326659202576,-0.08287752419710159,0.5559272766113281,-0.5318448543548584,-0.07416234910488129,0.45847317576408386,-0.5108691453933716,-0.05973067879676819,0.37064817547798157,-0.46607187390327454,-0.0537370927631855,0.505303144454956,-0.23578564822673798,-0.07170671969652176,0.549315333366394,-0.33314430713653564,-0.04211317375302315,0.45883020758628845,-0.33418193459510803,-0.026065371930599213,0.38625484704971313,-0.2965860962867737,-0.03299027681350708,0.49808642268180847,-0.043175019323825836,-0.05281335115432739,0.5213791131973267,-0.15508003532886505,-0.022934023290872574,0.44637778401374817,-0.1585288792848587,0.0040354072116315365,0.3736914098262787,-0.12532846629619598,0.0030805966816842556,0.47347065806388855,0.11371294409036636,-0.03451375290751457,0.4884333908557892,0.01079070009291172,-0.007644424680620432,0.4197756350040436,-0.0001656885287957266,0.027418917044997215,0.3606276512145996,0.025778664276003838,0.046459488570690155
HELLO,UNKNOWN,0.0,0.0,0.0,0.035600680857896805,-0.35712212324142456,-0.03469564765691757,0.12739728391170502,-0.590017557144165,-0.08351545035839081,0.23864243924617767,-0.7835556268692017,-0.1252400130033493,0.2948274612426758,-0.955550491809845,-0.15716856718063354,0.4538765251636505,-0.45334386825561523,-0.08380219340324402,0.5518158674240112,-0.5411593914031982,-0.07968945801258087,0.45582181215286255,-0.5198979377746582,-0.06984744966030121,0.3695530891418457,-0.47257161140441895,-0.06668410450220108,0.5124188661575317,-0.23620092868804932,-0.0746416226029396,0.5432195663452148,-0.33908578753471375,-0.049855660647153854,0.4535765051841736,-0.3374243676662445,-0.037354592233896255,0.38059958815574646,-0.2965714633464813,-0.04550502076745033,0.5055408477783203,-0.043696992099285126,-0.05814584717154503,0.513453483581543,-0.1571132093667984,-0.03198117017745972,0.438133180141449,-0.15970297157764435,-0.007097199559211731,0.3652455806732178,-0.12478967756032944,-0.008251470513641834,0.4793112576007843,0.11379463225603104,-0.04273991286754608,0.4818028211593628,0.013840088620781898,-0.019707219675183296,0.41229429841041565,0.0030779701191931963,0.013481348752975464,0.35281866788864136,0.028181182220578194,0.03250197321176529
HELLO,UNKNOWN,0.0,0.0,0.0,0.030100077390670776,-0.35056236386299133,-0.04101543873548508,0.11453279107809067,-0.5794991254806519,-0.0957406535744667,0.22750255465507507,-0.7828251719474792,-0.14195697009563446,0.29201123118400574,-0.9564149379730225,-0.1778310090303421,0.4532397389411926,-0.451610267162323,-0.09068471193313599,0.5464332699775696,-0.5368741154670715,-0.07993986457586288,0.44888296723365784,-0.5112584233283997,-0.06444644927978516,0.3638966381549835,-0.46256160736083984,-0.05893431603908539,0.5128197073936462,-0.23419341444969177,-0.07684391736984253,0.5379371643066406,-0.3331112861633301,-0.046707335859537125,0.4454891085624695,-0.3283851146697998,-0.03225279599428177,0.3737107515335083,-0.28739437460899353,-0.040968429297208786,0.5036505460739136,-0.0416342131793499,-0.055054161697626114,0.5048685073852539,-0.15312612056732178,-0.023622892796993256,0.42794299125671387,-0.15337488055229187,0.0026566102169454098,0.3558056056499481,-0.12018708139657974,0.0003315905632916838,0.4763520061969757,0.11642585694789886,-0.03474593535065651,0.4733497202396393,0.015307138673961163,-0.007144497241824865,0.40298035740852356,0.006205938756465912,0.02690015733242035,0.3432948589324951,0.02980835922062397,0.04481956735253334
HELLO,UNKNOWN,0.0,0.0,0.0,0.03035777620971203,-0.3512504994869232,-0.047415584325790405,0.11360146105289459,-0.5834867358207703,-0.1048048883676529,0.22488291561603546,-0.7831518054008484,-0.15203465521335602,0.28876569867134094,-0.957399845123291,-0.18873922526836395,0.447113573551178,-0.45493656396865845,-0.10136543959379196,0.5326830148696899,-0.5440765619277954,-0.09220810234546661,0.44044390320777893,-0.5202199220657349,-0.07544010132551193,0.35759422183036804,-0.47369322180747986,-0.06929284334182739,0.5064268708229065,-0.23704884946346283,-0.08760756999254227,0.5291082859039307,-0.3385051488876343,-0.06240488216280937,0.4405733048915863,-0.33436939120292664,-0.050344109535217285,0.3681669533252716,-0.2943131923675537,-0.060111064463853836,0.49988511204719543,-0.04267672449350357,-0.06594128906726837,0.5042065978050232,-0.15833859145641327,-0.04163196682929993,0.42795422673225403,-0.15742036700248718,-0.017836177721619606,0.3545982837677002,-0.12270545959472656,-0.020342282950878143,0.47469380497932434,0.11781928688287735,-0.0458107627928257,0.48004934191703796,0.010023923590779305,-0.026759715750813484,0.41119885444641113,0.0024117210414260626,0.005140621215105057,0.3505820035934448,0.0285186730325222,0.023209599778056145
HELLO,UNKNOWN,0.0,0.0,0.0,0.027017513290047646,-0.35290956497192383,-0.0394420363008976,0.10556004196405411,-0.5852816104888916,-0.09496483951807022,0.21961791813373566,-0.7851845026016235,-0.14136990904808044,0.28604260087013245,-0.9582169055938721,-0.17745341360569,0.4379112720489502,-0.46237584948539734,-0.09797904640436172,0.5373162627220154,-0.5462964773178101,-0.08660513907670975,0.44387131929397583,-0.5251134037971497,-0.06781032681465149,0.35827940702438354,-0.4809233844280243,-0.059495918452739716,0.5014944672584534,-0.24433071911334991,-0.0840843990445137,0.5273480415344238,-0.3440011441707611,-0.05228210985660553,0.4382562041282654,-0.3400212228298187,-0.036317769438028336,0.3680238127708435,-0.2985623776912689,-0.04495083913207054,0.49752384424209595,-0.04959412291646004,-0.06129121780395508,0.49872496724128723,-0.1642172485589981,-0.028211258351802826,0.4238675832748413,-0.16257385909557343,-0.002002045512199402,0.35335975885391235,-0.126054048538208,-0.005228332709521055,0.47589531540870667,0.11078085750341415,-0.03935148939490318,0.47604307532310486,0.0031707072630524635,-0.010996301658451557,0.4071042239665985,-0.0034104904625564814,0.02330855466425419,0.3492889106273651,0.024339070543646812,0.041167836636304855
